"Qty","Value","Device","Package","Parts","Description","COPYRIGHT","MANUFACTURER_PART_NUMBER","MFR_NAME","MPN","OC_FARNELL","OC_NEWARK","PACKAGE","POPULARITY","SUPPLIER","TOLERANCE","VOLTAGE",
"4","","LEDCHIPLED_0805","CHIPLED_0805","LED1, LED2, LED3, LED4","LED","","","","","","","","52","","","",
"4","100","R-US_R0805","R0805","R5, R6, R7, R8","RESISTOR, American symbol","","","","","","","","","","","",
"12","100n","C-USC0805","C0805","C1, C2, C5, C6, C7, C8, C9, C10, C11, C12, C13, C14","CAPACITOR, American symbol","","","","","","","","","","","",
"1","1k","ACASA5001U5001P1ATACASA5001U5001P1AT","RESCAV80P320X150X55-8N","RN2","","","","","","","","","","","","",
"4","1k","R-US_R0805","R0805","R1, R2, R3, R4","RESISTOR, American symbol","","","","","","","","","","","",
"1","20k","ACASA5001U5001P1ATACASA5001U5001P1AT","RESCAV80P320X150X55-8N","RN1","","","","","","","","","","","","",
"2","22u","CPOL-USC/6032-28W","C/6032-28W","C3, C4","POLARIZED CAPACITOR, American symbol","","","","","","","","","","","",
"1","27k","ACASA5001U5001P1ATACASA5001U5001P1AT","RESCAV80P320X150X55-8N","RN4","","","","","","","","","","","","",
"1","50k","ACASA5001U5001P1ATACASA5001U5001P1AT","RESCAV80P320X150X55-8N","RN3","","","","","","","","","","","","",
"1","AD5754RBREZ-REEL7","AD5754RBREZ-REEL7","SOP65P640X120-25N","U3","IC, DAC, 16BIT, 100KSPS","","","","AD5754RBREZ-REEL7","1776675","07P8940","24-Lead TSSOP_EP","","Analog Devices","","",
"1","AD8648ARZR_14_ADI-M","AD8648ARZR_14_ADI-M","R_14_ADI-M","U4","","Copyright (C) 2023 Ultra Librarian. All rights reserved.","AD8648ARZ","Analog Devices Inc","","","","","","","","",
"1","ARDUINOR3-BPLACE","ARDUINOR3-BPLACE","ARDUINOR3-BPLACE","U2","This is a new object for the new Arduino R3 - with extra pins that you may want to use (such as IOref, and duplicated A4/A5","","","","","","","","","","","",
"1","BAS70-05","BAS70-05","SOT23","D1","Silicon Schottky Diodes","","","","","","","","1","","","",
"1","ISB0105D12","ISB0105D12ISB0105D12","SOP254P1860X845-14L","U1","","","","","","","","","","","","",
"1","OSTVN08A150","OSTVN08A150","CONN_OSTVN08A150_OST","J1","","Copyright (C) 2023 Ultra Librarian. All rights reserved.","OSTVN08A150","On Shore Technology","","","","","","","","",
